pair,Wealth NEAT,Wealth STATIC,Wealth DRL,CAGR NEAT,CAGR STATIC,CAGR DRL,ASR NEAT,ASR STATIC,ASR DRL,# Trades NEAT,# Trades STATIC,# Trades DRL,TR NEAT,TR STATIC,TR DRL
#72422,1113228.349999999,1043037.6399999997,1001586.19,0.034046584501583155,0.013238956186203188,0.007255716522910349,2.023554361182312,0.7606004430131275,0.6134500265898025,147,13,13,0.11322834999999887,0.043037639999999655,0.0015861900000000428
#77060,1049013.7459999977,1008180.5700000001,1001362.1799999996,0.015047398358509101,0.0025462079234908064,0.004172513730357208,1.3051089883246254,-0.2124535329380215,0.05613475436941213,132,8,26,0.04901374599999775,0.008180570000000165,0.0013621799999996576
#28805,1074996.8200000022,1011064.1500000001,1005478.4300000002,0.022828830988397275,0.003440335886396584,0.0017705622058898918,1.7365961771708047,-0.06153840434460787,-0.40478607633865094,168,11,174,0.07499682000000218,0.011064150000000161,0.005478430000000145
#68535,1106285.2099999988,1043037.6399999997,1001586.19,0.032029268159121216,0.013238956186203188,0.007255716522910349,1.8825327836884256,0.7606004430131275,0.6134500265898025,97,13,13,0.10628520999999891,0.043037639999999655,0.0015861900000000428
#26323,2243079.6418800033,1113709.0383399995,1000000.0,0.2867890227190144,0.03418592690407718,0.0,2.058907296029993,0.3699760649177992,0.0,217,22,1,1.2430796418800032,0.11370903833999946,0.0
#60938,2812126.565040007,1359122.1018,1206545.776,0.38087681943295126,0.10050819650877152,0.12612056072619904,1.3961988647916561,0.5559090853349312,1.271713714370827,311,13,5,1.812126565040007,0.35912210180000015,0.20654577600000001
#89091,1409147.5593400046,1098075.0439899997,897609.1389099997,0.11299449613791701,0.02963255006912724,-0.0714247122729258,1.5670859321886148,0.4446385695770464,-0.9445341815754614,217,11,25,0.4091475593400047,0.09807504398999978,-0.10239086109000028
#87713,1336666.3358300054,1136093.4482100003,1021650.9994900002,0.09480031378474085,0.04062942926812907,0.007830479312075811,1.024251058733893,0.4928258094708693,0.19376196648894728,352,11,25,0.33666633583000527,0.13609344821000025,0.021650999490000267
#85964,1002830.8900000006,999682.5099999999,999816.9999999998,0.0008827321760864759,-9.910734155771372e-05,-0.0004530816522684278,-6.0480233229879845,-10.347900608150972,-12.017119958037277,282,18,54,0.0028308900000006965,-0.0003174900000001424,-0.00018300000000026628
#90269,1134526.4550000029,1045192.8480000002,1004870.0209999994,0.04018121709831024,0.013891968007082811,0.0023906265559079376,1.382138601213121,0.4741268082870652,-0.7438411896713462,182,11,84,0.13452645500000293,0.04519284800000034,0.004870020999999447
#13338,1109600.3879999998,1014793.1740000006,1000844.905999999,0.03299357004255832,0.004594018241809605,0.0006135479470532612,2.7183159658530625,0.05424769491261176,-0.4644960297415382,148,15,54,0.10960038799999983,0.014793174000000686,0.0008449059999990904
#55711,11426431.207999991,2260763.9969999995,1480970.2420000006,1.1389478208732582,0.28994697969848127,0.23219383443266706,5.138293552751512,1.9949674220478906,3.659237311338604,276,46,113,10.426431207999991,1.2607639969999993,0.4809702420000006
