,date_min,date_max,na_count_asset_1,na_count_asset_2,act,coint,hurst,pair,area
0,2009-01-05,2012-12-31,0,0,14.116666666666667,0.16769499961777912,0.4806879271202249,95.0,Japan Bonds
0,2009-01-05,2012-12-31,0,0,17.645833333333332,0.20263954370541692,0.4949765660333665,96.0,Japan Bonds
0,2009-01-05,2012-12-31,0,0,15.125,0.2645719766077681,0.5068397316778592,97.0,Japan Bonds
0,2009-01-05,2012-12-31,0,0,18.369565217391305,0.2831704912764138,0.4970796860689113,98.0,Japan Bonds
0,2009-01-05,2012-12-31,0,0,17.071428571428573,0.3191937488635114,0.49059684341164533,99.0,Japan Bonds
0,2009-01-02,2012-12-31,0,0,14.152777777777779,0.0011784241814807484,0.43378417203253555,100.0,UK bonds
0,2009-01-02,2012-12-31,0,0,22.711111111111112,0.13907583799279938,0.49510775867879975,101.0,UK bonds
0,2009-01-02,2012-12-31,0,0,21.76595744680851,0.10550508579579082,0.441010424641648,102.0,UK bonds
0,2009-01-02,2012-12-31,0,0,24.70731707317073,0.07958753883834002,0.47914137413993096,103.0,UK bonds
0,2009-01-02,2012-12-31,0,0,21.51063829787234,0.14083275121144428,0.38095386147591087,104.0,UK bonds
0,2009-01-02,2012-12-31,0,0,20.0,0.01609638102273295,0.4958923102746363,105.0,UK bonds
0,2009-01-02,2012-12-31,0,0,24.70731707317073,0.07958753883834002,0.47914137413993096,106.0,UK bonds
0,2009-01-02,2012-12-31,0,0,19.681818181818183,0.4704667496426505,0.35479339289536665,107.0,CDS Societe general
0,2009-01-02,2012-12-31,0,0,13.577464788732394,0.0017091407747242,0.47758042182272514,108.0,CDS Deutsche Bank
0,2009-01-02,2012-12-31,0,0,,0.19888157905496212,0.5955781868512546,109.0,CDS 3M Company
0,2009-01-02,2012-12-31,0,0,,0.2881936706960998,0.5881543551362101,110.0,CDS 3M Company
0,2009-01-02,2012-12-31,0,0,103.0,0.009177633632158368,0.5299173545243931,111.0,CDS 3M Company
0,2009-01-02,2012-12-31,0,0,43.84615384615385,0.27526628449037094,0.6125206311538264,112.0,CDS 3M Company
0,2009-01-02,2012-12-31,0,0,103.0,0.0197547206917115,0.5312905831980101,113.0,CDS 3M Company
0,2009-01-02,2012-12-31,0,0,468.0,0.3884626572959249,0.630230436036358,114.0,CDS 3M Company
0,2009-01-02,2012-12-31,0,0,467.0,0.33518566895774393,0.6195214491377418,115.0,CDS 3M Company
0,2009-01-02,2012-12-31,0,0,2.652173913043478,0.0,0.32408674180223684,116.0,ECBOT Wheat - standard and mini
0,2009-01-02,2012-12-31,0,0,,0.20111906598241353,0.6147565962898577,117.0,ECBOT Wheat - standard& MGE WHEAT
0,2009-01-02,2012-12-31,0,0,357.0,0.8626273066412165,0.5142551954146859,118.0,ECBOT Wehat different maturity
0,2009-01-02,2012-12-31,0,0,34.72222222222222,0.9041435824167565,0.559537790527911,119.0,CDS Intesa
0,2009-01-02,2012-12-31,0,0,16.10169491525424,0.009978672197928543,0.44918479370771863,120.0,CDS Intesa
0,2009-01-02,2012-12-31,0,0,44.07142857142857,0.8829643435454919,0.5868602520921198,121.0,CDS Intesa
0,2009-01-02,2012-12-31,0,0,16.661016949152543,0.1210737550392435,0.3883867761532977,122.0,CDS Intesa
0,2009-01-02,2012-12-31,0,0,43.285714285714285,0.4879985818139661,0.6208868127226327,123.0,CDS Intesa
0,2009-01-02,2012-12-31,0,0,51.583333333333336,0.36770270747538525,0.642387546182116,124.0,CDS Intesa
0,2009-01-02,2012-12-31,0,0,8.5,0.4734436144751294,0.3636837014981542,125.0,CDS Intesa
0,2009-01-02,2012-12-31,0,0,25.958333333333332,0.9016831360114579,0.5584465331174848,126.0,CDS Intesa
0,2009-01-02,2012-12-31,0,0,77.875,0.3993545941455046,0.625066139157541,127.0,CDS Intesa
0,2009-01-02,2012-12-31,0,0,25.393939393939394,0.5011695182631678,0.48543305265277226,128.0,CDS BMW
0,2009-01-02,2012-12-31,0,0,33.56,0.41049550294969284,0.5147890130923344,129.0,CDS BMW
0,2009-01-02,2012-12-31,0,0,39.95238095238095,0.467346248962987,0.5226665109978127,130.0,CDS BMW
0,2009-01-02,2012-12-31,0,0,33.416666666666664,0.2794857094461858,0.5552869016776554,131.0,CDS BMW
0,2009-01-02,2012-12-31,0,0,24.29268292682927,0.014741559015765566,0.4951128716663401,132.0,CDS BMW
0,2009-01-02,2012-12-31,0,0,13.420289855072463,0.06607128680963746,0.537357144163503,133.0,CDS BMW
0,2009-01-02,2012-12-31,0,0,22.864864864864863,0.44973054829688514,0.501627999907322,134.0,CDS BMW
